Time (msec),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Mass Airflow Sensor Voltage (V),Innovate Wideband AFR (AFR Gasoline),Engine Load (Calculated) (g/rev),Primary Open Loop Map Enrichment (4-byte)* (estimated AFR),Throttle Opening Angle (%)
0,2132,0.00,1.66,14.63,0.36,14.70,9.41
48,2144,0.00,1.72,14.63,0.37,14.70,9.41
96,2141,0.00,1.66,14.64,0.39,14.70,9.41
143,2152,0.00,1.68,14.64,0.35,14.70,9.41
190,2150,0.00,1.70,14.76,0.37,14.70,9.41
241,2131,0.00,1.68,14.69,0.36,14.70,9.41
288,2140,0.00,1.72,14.69,0.36,14.70,9.41
336,2136,0.00,1.68,14.71,0.36,14.70,9.41
402,2144,0.00,1.68,14.71,0.39,14.70,9.41
450,2148,0.00,1.66,14.71,0.37,14.70,9.41
498,2138,0.00,1.70,14.74,0.37,14.70,9.41
545,2134,0.00,1.72,14.74,0.38,14.70,9.41
592,2150,0.00,1.68,14.69,0.37,14.70,9.41
640,2152,0.00,1.70,14.69,0.37,14.70,9.41
686,2146,0.00,1.70,14.69,0.36,14.70,9.41
735,2130,0.00,1.68,14.83,0.37,14.70,9.41
800,2133,0.00,1.70,14.83,0.37,14.70,9.41
848,2152,0.00,1.72,14.61,0.35,14.70,9.41
911,2141,0.00,1.70,14.63,0.36,14.70,9.41
943,2130,0.00,1.68,14.63,0.38,14.70,9.41
990,2140,0.00,1.68,14.69,0.38,14.70,9.41
1039,2158,0.00,1.66,14.69,0.35,14.70,9.41
1086,2142,0.00,1.68,14.66,0.36,14.70,9.41
1138,2140,0.00,1.68,14.70,0.36,14.70,9.41
1199,2133,0.00,1.70,14.70,0.36,14.70,9.41
1246,2134,0.00,1.68,14.67,0.36,14.70,9.41
1297,2143,0.00,1.68,14.67,0.36,14.70,9.41
1343,2146,0.00,1.70,14.67,0.35,14.70,9.41
1391,2134,0.00,1.70,14.71,0.36,14.70,9.41
1439,2128,0.00,1.68,14.71,0.38,14.70,9.41
1488,2127,0.00,1.70,14.73,0.36,14.70,9.41
1535,2151,0.00,1.68,14.73,0.37,14.70,9.41
1599,2149,0.00,1.68,14.74,0.36,14.70,9.80
1646,2128,0.00,1.70,14.77,0.37,14.70,9.41
1695,2122,0.00,1.68,14.77,0.36,14.70,9.41
1742,2141,0.00,1.66,14.76,0.35,14.70,9.41
1791,2148,0.00,1.70,14.70,0.35,14.70,9.41
1840,2130,0.00,1.66,14.70,0.37,14.70,9.41
1887,2132,0.00,1.72,14.63,0.35,14.70,9.41
1934,2129,0.00,1.68,14.63,0.37,14.70,9.41
1999,2140,0.00,1.70,14.60,0.37,14.70,9.41
2047,2140,0.00,1.68,14.67,0.35,14.70,9.41
2093,2132,0.00,1.68,14.67,0.34,14.70,9.41
2144,2132,0.00,1.66,14.79,0.36,14.70,9.41
2193,2131,0.00,1.72,14.79,0.37,14.70,9.41
2240,2136,0.00,1.68,14.79,0.38,14.70,9.41
2286,2148,0.00,1.70,14.76,0.35,14.70,9.41
2336,2132,0.00,1.68,14.76,0.37,14.70,9.41
2400,2120,0.00,1.72,14.74,0.37,14.70,9.41
2447,2135,0.00,1.72,14.66,0.38,14.70,9.41
2497,2147,0.00,1.72,14.66,0.37,14.70,9.41
2541,2126,0.00,1.70,14.67,0.36,14.70,9.41
2590,2122,0.00,1.76,14.67,0.37,14.70,10.59
2639,2142,0.00,1.78,14.69,0.43,14.70,11.37
2687,2145,0.00,1.84,14.69,0.43,14.70,11.37
2734,2139,0.00,1.82,14.49,0.45,14.70,11.37
2798,2128,0.00,1.96,14.69,0.48,14.70,13.73
2846,2140,0.00,2.14,14.69,0.68,14.70,16.86
2894,2181,0.00,2.26,14.70,0.84,14.70,18.82
2953,2164,0.00,2.34,14.88,0.92,14.70,21.96
2989,2128,0.00,2.38,14.88,1.05,14.70,24.31
3037,2174,0.00,2.48,14.83,1.06,14.70,28.24
3086,2164,0.00,2.48,14.83,1.14,14.70,35.69
3134,2174,0.00,2.50,14.61,1.15,14.70,41.96
3200,2216,0.00,2.54,15.08,1.16,14.70,53.73
3245,2210,0.00,2.50,15.08,1.13,14.70,67.06
3294,2185,0.00,2.50,14.48,1.19,14.38,78.82
3343,2225,0.00,2.58,14.48,1.19,13.39,88.63
3389,2230,0.00,2.58,13.47,1.14,12.98,100.00
3439,2230,0.00,2.50,14.21,1.16,12.98,100.00
3486,2273,0.00,2.56,14.21,1.22,12.98,100.00
3535,2280,0.00,2.64,13.07,1.23,12.98,100.00
3597,2289,0.00,2.64,13.42,1.23,12.98,100.00
3646,2306,0.00,2.58,13.42,1.31,12.98,100.00
3694,2322,0.00,2.62,13.70,1.30,12.98,100.00
3741,2318,0.00,2.60,13.70,1.29,12.98,100.00
3789,2326,0.00,2.70,13.48,1.32,12.98,100.00
3839,2333,0.00,2.70,13.41,1.34,12.98,100.00
3887,2358,0.00,2.76,13.41,1.36,12.98,100.00
3934,2366,0.00,2.76,13.27,1.32,12.98,100.00
3997,2378,0.00,2.78,13.27,1.43,12.98,100.00
4045,2400,0.00,2.80,13.47,1.44,12.98,100.00
4094,2397,0.00,2.82,13.29,1.44,12.98,100.00
4143,2425,0.00,2.86,13.29,1.47,12.98,100.00
4190,2445,0.00,2.86,13.10,1.55,12.98,100.00
4238,2445,0.00,2.86,13.10,1.60,12.98,100.00
4286,2457,0.00,2.84,13.22,1.55,12.98,100.00
4333,2508,0.00,2.80,13.14,1.58,12.98,100.00
4397,2492,0.00,2.84,13.14,1.60,12.98,100.00
4445,2546,0.00,2.88,13.16,1.58,12.98,100.00
4494,2544,0.00,2.96,13.33,1.60,12.98,100.00
4542,2531,0.00,2.90,13.33,1.67,12.98,100.00
4590,2572,0.00,2.90,13.47,1.68,12.98,100.00
4639,2565,0.00,3.00,13.47,1.81,12.98,100.00
4685,2580,0.00,3.06,13.63,1.71,12.98,100.00
4734,2636,0.00,2.94,13.63,1.84,12.98,100.00
4799,2610,0.00,3.04,13.35,1.79,12.98,100.00
4845,2652,0.00,3.10,13.33,1.82,12.98,100.00
4893,2648,0.00,3.00,13.33,1.85,12.98,100.00
4941,2662,0.00,3.12,13.38,1.93,12.98,100.00
4989,2705,0.00,3.02,13.08,1.91,12.98,100.00
5037,2716,0.00,3.18,13.08,1.89,12.98,100.00
5085,2716,0.00,3.08,13.10,1.97,12.98,100.00
5149,2731,0.00,3.24,13.30,2.00,12.98,100.00
5198,2774,0.00,3.16,13.30,2.03,12.98,100.00
5245,2780,0.00,3.18,13.08,2.11,12.96,100.00
5294,2794,0.00,3.34,13.08,2.15,12.86,100.00
5341,2832,0.00,3.22,13.05,2.18,12.83,100.00
5390,2832,0.00,3.24,13.05,2.22,12.75,100.00
5437,2838,0.00,3.30,12.76,2.20,12.67,100.00
5504,2890,0.00,3.40,12.35,2.27,12.64,100.00
5551,2905,0.00,3.40,12.35,2.32,12.57,100.00
5598,2918,0.00,3.34,12.39,2.31,12.47,100.00
5647,2927,0.00,3.36,12.05,2.34,12.41,100.00
5693,2983,0.00,3.40,12.05,2.43,12.30,100.00
5741,2972,0.00,3.44,11.79,2.54,12.23,100.00
5789,3025,0.00,3.50,11.79,2.50,12.14,100.00
5841,3022,0.00,3.48,11.73,2.63,12.08,100.00
5901,3058,0.00,3.56,11.55,2.57,11.97,100.00
5948,3082,0.00,3.62,11.55,2.76,11.91,100.00
5996,3114,0.00,3.70,11.47,2.75,11.78,100.00
6063,3101,0.00,3.82,11.33,2.84,11.71,100.00
6092,3182,0.00,3.84,11.33,2.80,11.62,100.00
6141,3182,0.00,3.70,11.33,2.89,11.53,100.00
6188,3198,0.00,3.88,11.33,2.96,11.48,100.00
6237,3249,0.00,3.92,11.30,3.04,11.41,100.00
6303,3264,0.00,3.74,11.22,3.01,11.37,100.00
6348,3318,0.00,4.00,11.22,2.87,11.34,100.00
6396,3335,0.00,3.76,11.39,2.84,11.35,100.00
6444,3340,0.00,3.96,11.39,2.84,11.36,100.00
6493,3397,0.00,3.88,11.75,2.85,11.34,100.00
6542,3433,0.00,3.82,11.77,2.80,11.34,100.00
6588,3466,0.00,3.98,11.77,2.77,11.33,100.00
6637,3469,0.00,3.98,11.86,2.86,11.30,100.00
6700,3498,0.00,3.88,11.86,2.80,11.27,100.00
6749,3526,0.00,3.90,11.70,2.97,11.27,100.00
6797,3553,0.00,3.92,11.54,2.89,11.21,100.00
6843,3576,0.00,3.94,11.54,2.80,11.21,100.00
6894,3615,0.00,3.92,11.52,2.95,11.18,100.00
6943,3633,0.00,3.98,11.52,2.92,11.18,100.00
6989,3684,0.00,4.00,11.47,2.87,11.13,100.00
7036,3684,0.00,4.06,11.45,2.98,11.13,100.00
7101,3765,0.00,4.10,11.45,2.84,11.07,100.00
7148,3796,0.00,4.10,11.35,3.06,11.03,100.00
7197,3774,0.00,4.04,11.35,3.00,11.01,100.00
7246,3824,0.00,4.08,11.20,2.95,11.00,100.00
7292,3856,0.00,4.10,11.25,3.02,10.98,100.00
7341,3824,0.00,4.06,11.25,2.96,10.99,100.00
7388,3948,0.00,4.16,11.14,2.96,10.96,100.00
7436,3939,0.00,4.16,11.14,2.98,10.94,100.00
7500,3950,0.00,4.14,11.14,2.91,10.95,100.00
7548,4011,0.00,4.18,11.22,2.97,10.96,100.00
7597,4009,0.00,4.12,11.22,2.97,10.94,100.00
7643,4047,0.00,4.18,11.23,2.93,10.94,100.00
7691,4068,0.00,4.18,11.30,3.00,10.93,100.00
7738,4092,0.00,4.18,11.30,2.92,10.91,100.00
7787,4152,0.00,4.20,11.16,2.92,10.90,100.00
7836,4169,0.00,4.14,11.16,2.95,10.91,100.00
7899,4158,0.00,4.16,11.11,2.89,10.92,100.00
7947,4234,0.00,4.20,11.23,2.95,10.91,100.00
7995,4205,0.00,4.20,11.23,2.95,10.91,100.00
8044,4259,0.00,4.20,11.19,2.99,10.90,100.00
8092,4308,0.00,4.26,11.19,2.99,10.89,100.00
8139,4306,0.00,4.22,11.14,2.94,10.87,100.00
8187,4340,0.00,4.26,11.16,3.00,10.87,100.00
8235,4372,0.00,4.26,11.16,2.95,10.86,100.00
8299,4379,0.00,4.28,11.19,3.03,10.85,100.00
8347,4456,0.00,4.30,11.14,2.97,10.84,100.00
8397,4420,0.00,4.28,11.14,2.92,10.85,100.00
8444,4462,0.00,4.30,11.14,2.92,10.84,100.00
8493,4533,0.00,4.28,11.14,2.97,10.82,100.00
8539,4535,0.00,4.34,11.16,2.91,10.84,100.00
8587,4550,0.00,4.30,11.16,3.02,10.83,100.00
8637,4553,0.00,4.36,11.33,2.97,10.82,100.00
8700,4591,0.00,4.34,11.20,2.95,10.81,100.00
8748,4652,0.00,4.36,11.20,2.98,10.80,100.00
8796,4679,0.00,4.38,11.17,2.98,10.79,100.00
8845,4700,0.00,4.38,11.22,2.98,10.80,100.00
8893,4741,0.00,4.38,11.22,3.05,10.79,100.00
8941,4769,0.00,4.38,11.11,3.02,10.78,100.00
8990,4765,0.00,4.38,11.11,2.98,10.78,100.00
9035,4837,0.00,4.42,11.22,2.91,10.77,100.00
9100,4830,0.00,4.38,11.14,2.94,10.77,100.00
9149,4854,0.00,4.38,11.14,2.92,10.77,100.00
9195,4901,0.00,4.38,11.32,2.88,10.76,100.00
9244,4910,0.00,4.42,11.32,2.95,10.77,100.00
9293,4921,0.00,4.40,11.23,2.88,10.77,100.00
9340,4985,0.00,4.40,11.27,2.84,10.77,100.00
9388,4925,0.00,4.44,11.27,2.90,10.77,100.00
9436,4967,0.00,4.42,11.20,2.91,10.77,100.00
9500,5001,0.00,4.44,11.23,2.85,10.77,100.00
9548,5051,0.00,4.44,11.23,2.90,10.77,100.00
9596,5101,0.00,4.46,11.23,2.91,10.77,100.00
9645,5070,0.00,4.46,11.23,2.86,10.77,100.00
9692,5079,0.00,4.46,11.19,2.88,10.77,100.00
9739,5185,0.00,4.44,11.17,2.91,10.77,100.00
9788,5174,0.00,4.48,11.17,2.93,10.77,100.00
9835,5154,0.00,4.46,11.08,2.94,10.77,100.00
9902,5249,0.00,4.46,11.13,2.89,10.77,100.00
9948,5244,0.00,4.50,11.13,2.92,10.77,100.00
9994,5228,0.00,4.52,11.17,2.82,10.77,100.00
10042,5316,0.00,4.50,11.17,2.84,10.77,100.00
10090,5268,0.00,4.50,11.16,2.92,10.77,100.00
10138,5361,0.00,4.52,11.16,2.84,10.77,100.00
10187,5377,0.00,4.50,11.23,2.91,10.77,100.00
10236,5344,0.00,4.54,11.22,2.88,10.77,100.00
10298,5445,0.00,4.52,11.22,2.83,10.77,100.00
10347,5380,0.00,4.54,11.10,2.84,10.77,100.00
10395,5464,0.00,4.54,11.19,2.84,10.77,100.00
10444,5507,0.00,4.54,11.19,2.86,10.77,100.00
10492,5450,0.00,4.54,11.22,2.84,10.77,100.00
10539,5538,0.00,4.54,11.22,2.81,10.77,100.00
10586,5512,0.00,4.54,11.16,2.85,10.77,100.00
10636,5590,0.00,4.52,11.16,2.85,10.77,100.00
10699,5594,0.00,4.56,11.13,2.82,10.77,100.00
10747,5574,0.00,4.52,11.13,2.83,10.77,100.00
10794,5656,0.00,4.52,11.13,2.76,10.77,100.00
10843,5668,0.00,4.56,11.16,2.77,10.77,100.00
10892,5645,0.00,4.56,11.17,2.80,10.77,100.00
10938,5667,0.00,4.56,11.17,2.76,10.77,100.00
10987,5732,0.00,4.54,11.04,2.76,10.77,100.00
11034,5766,0.00,4.56,11.04,2.79,10.77,100.00
11099,5712,0.00,4.58,11.17,2.81,10.77,100.00
11147,5766,0.00,4.54,11.05,2.80,10.77,100.00
11194,5816,0.00,4.58,11.05,2.74,10.77,100.00
11242,5825,0.00,4.56,11.08,2.76,10.77,100.00
11290,5880,0.00,4.58,11.10,2.70,10.77,100.00
11339,5876,0.00,4.58,11.10,2.71,10.77,100.00
11388,5842,0.00,4.56,11.03,2.68,10.77,100.00
11434,5890,0.00,4.58,11.03,2.70,10.77,100.00
11501,5889,0.00,4.58,11.07,2.72,10.77,100.00
11548,5911,0.00,4.58,11.14,2.68,10.77,100.00
11595,5931,0.00,4.58,11.14,2.72,10.77,100.00
11644,5956,0.00,4.58,11.10,2.69,10.77,100.00
11690,5968,0.00,4.54,11.10,2.67,10.77,100.00
11738,5998,0.00,4.58,11.03,2.65,10.77,100.00
11787,6015,0.00,4.58,11.19,2.64,10.77,100.00
11850,6033,0.00,4.58,11.19,2.61,10.77,100.00
11899,6057,0.00,4.56,11.13,2.65,10.77,100.00
11947,6072,0.00,4.58,11.11,2.69,10.77,100.00
11995,6087,0.00,4.60,11.11,2.64,10.77,100.00
12042,6107,0.00,4.50,11.08,2.59,10.77,60.00
12092,6032,0.00,3.50,11.08,1.50,10.77,22.35
12140,6032,0.00,2.38,11.29,0.52,11.51,11.37
12186,6034,0.00,1.72,11.29,0.17,13.52,10.20
12251,5993,0.00,1.54,13.14,0.11,14.21,10.20
12298,5881,0.00,1.54,13.66,0.10,14.36,10.20
12347,5833,0.00,1.58,13.66,0.12,14.36,10.20
12394,5775,0.00,1.66,13.89,0.11,14.36,10.20
12443,5716,0.00,1.68,14.16,0.13,14.36,10.20
12489,5693,0.00,1.76,14.16,0.15,14.36,10.20
12538,5555,0.00,1.78,15.39,0.15,14.36,10.20
12586,5453,0.00,1.76,15.39,0.16,14.36,10.20
12649,5416,0.00,1.82,16.41,0.16,14.36,10.20
12698,5266,0.00,1.78,18.08,0.17,14.36,10.20
12746,5180,0.00,1.78,18.08,0.17,14.36,10.20
12794,5138,0.00,1.80,19.45,0.17,14.39,10.20
12841,5046,0.00,1.84,19.45,0.20,14.41,10.20
12890,4890,0.00,1.78,20.33,0.19,14.70,10.20
12938,4787,0.00,1.76,20.33,0.20,14.70,10.20
12985,4684,0.00,1.82,20.33,0.20,14.70,10.20
13050,4636,0.00,1.84,20.33,0.21,14.70,10.20
13098,4529,0.00,1.82,20.33,0.22,14.70,10.20
13147,4396,0.00,1.86,20.33,0.22,14.70,10.20
13193,4284,0.00,1.84,20.33,0.24,14.70,10.20
13243,4224,0.00,1.84,20.33,0.24,14.70,10.20
13289,4091,0.00,1.78,20.33,0.24,14.70,10.20
13337,4010,0.00,1.84,20.33,0.24,14.70,10.20
13385,3948,0.00,1.82,20.33,0.24,14.70,10.20
13452,3866,0.00,1.80,20.33,0.26,14.70,10.20
13497,3735,0.00,1.80,20.33,0.25,14.70,10.20
13546,3662,0.00,1.84,20.33,0.26,14.70,10.20
13593,3666,0.00,1.84,20.33,0.28,14.70,10.20
13642,3753,0.00,1.78,20.33,0.26,14.70,10.20
13690,3966,0.00,1.84,20.33,0.25,14.70,10.20
13737,4033,0.00,1.78,20.33,0.26,14.70,10.20
13786,3924,0.00,1.86,20.33,0.25,14.70,10.20
13851,3984,0.00,1.74,20.33,0.22,14.70,10.20
13898,3990,0.00,1.86,20.33,0.24,14.70,10.20
13946,3907,0.00,1.76,20.33,0.21,14.70,10.20
13994,3928,0.00,1.82,20.33,0.22,14.70,10.20
14041,3952,0.00,1.80,20.33,0.22,14.70,10.20
14090,3946,0.00,1.80,20.33,0.23,14.70,10.20
14138,3917,0.00,1.82,20.33,0.24,14.70,10.20
14188,3899,0.00,1.76,20.33,0.23,14.70,10.20
14250,3934,0.00,1.84,20.33,0.25,14.70,10.20
14299,3889,0.00,1.82,20.33,0.26,14.70,10.20
14345,3892,0.00,1.84,20.33,0.25,14.70,10.20
14394,3930,0.00,1.80,20.33,0.25,14.70,10.20
14442,3915,0.00,1.74,20.33,0.23,14.70,10.20
14490,3870,0.00,1.82,20.33,0.24,14.70,10.20
14540,3862,0.00,1.84,20.33,0.26,14.70,10.20
14586,3859,0.00,1.84,20.33,0.24,14.70,10.20
14651,3879,0.00,1.86,20.33,0.27,14.70,10.20
14698,3862,0.00,1.86,20.33,0.26,14.70,10.20
14747,3823,0.00,1.84,20.33,0.26,14.70,10.20
14794,3813,0.00,1.84,20.33,0.26,14.70,10.20
14841,3824,0.00,1.86,20.33,0.27,14.70,10.20
14889,3813,0.00,1.84,20.33,0.27,14.70,10.20
14939,3801,0.00,1.84,20.33,0.25,14.70,10.20
14985,3789,0.00,1.84,20.33,0.28,14.70,10.20
15048,3744,0.00,1.86,20.33,0.26,14.70,10.20
15098,3738,0.00,1.84,20.33,0.26,14.70,10.20
15145,3732,0.00,1.84,20.33,0.25,14.70,10.20
15191,3724,0.00,1.86,20.33,0.29,14.70,10.20
15240,3746,0.00,1.80,20.33,0.24,14.70,10.20
15288,3736,0.00,1.84,20.33,0.27,14.70,10.20
